hs6_code,ucc_code,ucc_description,map_weight,confidence_level
030199,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030199,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030211,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030211,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030211,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030213,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030213,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030213,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030214,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030214,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030214,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030221,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030221,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030221,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030229,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030229,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030229,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030242,050410,LAMB AND ORGAN MEATS,0.2706,MEDIUM
030242,070110,CANNED FISH AND SEAFOOD,0.2431,MEDIUM-LOW
030242,070230,FRESH FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030242,070240,FROZEN FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030244,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030244,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030244,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030245,070110,CANNED FISH AND SEAFOOD,0.2752,MEDIUM
030245,070230,FRESH FISH AND SHELLFISH,0.2752,MEDIUM
030245,070240,FROZEN FISH AND SHELLFISH,0.2752,MEDIUM
030245,050410,LAMB AND ORGAN MEATS,0.1743,MEDIUM
030246,050410,LAMB AND ORGAN MEATS,0.2706,MEDIUM
030246,070110,CANNED FISH AND SEAFOOD,0.2431,MEDIUM-LOW
030246,070230,FRESH FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030246,070240,FROZEN FISH AND SHELLFISH,0.2431,MEDIUM-LOW
030247,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030247,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030247,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030251,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030251,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030251,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030252,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030252,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030252,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030253,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030253,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030253,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030255,070110,CANNED FISH AND SEAFOOD,0.2754,MEDIUM
030255,070230,FRESH FISH AND SHELLFISH,0.2754,MEDIUM
030255,070240,FROZEN FISH AND SHELLFISH,0.2754,MEDIUM
030255,050410,LAMB AND ORGAN MEATS,0.1738,MEDIUM
030256,050410,LAMB AND ORGAN MEATS,0.2709,MEDIUM
030256,070110,CANNED FISH AND SEAFOOD,0.243,MEDIUM-LOW
