level1,level2,description,ucc_code
1,4,"STREAMING, DOWNLOADING VIDEO (THRU Q20171)",310240
1,4,"RENTAL, STREAMING, DOWNLOADING VIDEO",310243
1,4,PHONOGRAPHS,310312
1,4,PERSONAL DIGITAL AUDIO PLAYERS,310314
1,4,DIGITAL MEDIA PLAYERS AND RECORDERS,310315
1,4,"STEREOS, RADIOS, SPEAKERS, AND SOUND COMPONENTS",310316
1,4,MISCELLANEOUS SOUND EQUIPMENT,310331
1,4,SOUND EQUIPMENT ACCESSORIES,310332
1,4,SATELLITE DISHES,310334
1,4,MISCELLANEOUS VIDEO EQUIPMENT,310335
1,4,"CDS, RECORDS, AUDIO TAPES",310340
1,4,"STREAMING, DOWNLOADING AUDIO",310350
1,4,"APPLICATIONS, GAMES, RINGTONES FOR HANDHELD DEVICES",310400
1,5,"FLOOR COVERINGS, NONPERMANENT",320111
1,5,WINDOW COVERINGS,320120
1,5,INFANTS'' EQUIPMENT,320130
1,5,LAUNDRY AND CLEANING EQUIPMENT,320140
1,5,OUTDOOR EQUIPMENT,320150
1,5,"LAMPS, LIGHTING FIXTURES, CEILING FANS",320221
1,5,TELEPHONES AND ACCESSORIES,320232
1,5,CLOCKS AND OTHER HOUSEHOLD DECORATIVE ITEMS,320233
1,6,FLATWARE,320330
1,6,"DINNERWARE, GLASSWARE, SERVING PIECES",320345
1,6,NONELECTRIC COOKWARE,320370
1,6,"TABLEWARE, NONELECTRIC KITCHENWARE",320380
1,5,LAWN AND GARDEN EQUIPMENT,320410
1,5,POWER TOOLS,320420
1,5,OTHER HARDWARE,320430
1,5,ELECTRIC FLOOR CLEANING EQUIPMENT,320511
1,5,SEWING MACHINES,320512
1,6,SMALL ELECTRIC KITCHEN APPLIANCES,320521
1,6,PORTABLE HEATING AND COOLING EQUIPMENT,320522
1,8,"MATERIAL FOR INSULATION, OTHER MAINTENANCE AND",320611
1,8,"MATERIAL FOR INSULATION, OTHER MAINTENANCE AND",320612
1,9,"MATERIAL FOR INSULATION, OTHER MAINTENANCE",320613
1,7,"FLOORING INSTALLATION, REPAIR, REPLACEMENT",320624
1,7,"FLOORING INSTALLATION, REPAIR, REPLACEMENT",320625
1,8,"FLOORING INSTALLATION, REPAIR, REPLACEMENT",320626
1,7,MATERIAL FOR LANDSCAPE MAINTENANCE,320631
1,7,MATERIALS FOR LANDSCAPING MAINTENANCE,320632
1,8,MATERIALS FOR LANDSCAPING MAINTENANCE,320633
1,5,OFFICE FURNITURE FOR HOME USE,320901
1,5,HAND TOOLS,320902
1,5,"INDOOR PLANTS, FRESH FLOWERS",320903
1,5,CLOSET AND STORAGE ITEMS,320904
1,5,MISCELLANEOUS HOUSEHOLD EQUIPMENT AND PARTS,320905
1,5,SOAPS AND DETERGENTS,330110
1,5,OTHER LAUNDRY CLEANING PRODUCTS,330210
1,5,"CLEANSING AND TOILET TISSUE, PAPER TOWELS AND NAPKIN",330310
1,5,"STATIONERY, STATIONERY SUPPLIES, GIFTWRAP",330410
1,5,MISCELLANEOUS HOUSEHOLD PRODUCTS,330510
1,5,TERMITE/PEST CONTROL PRODUCTS,330511
1,5,LAWN AND GARDEN SUPPLIES,330610
1,5,POSTAGE,340110
1,5,DELIVERY SERVICES,340120
1,5,BABYSITTING AND CHILD CARE,340210
1,5,HOUSEKEEPING SERVICES,340310
1,5,"GARDENING, LAWN CARE SERVICE",340410
1,5,WATER SOFTENING SERVICE,340420
1,5,"MOVING, STORAGE, FREIGHT",340510
1,5,"HOUSEHOLD LAUNDRY AND DRY CLEANING, SENT OUT",340520
1,5,COIN-OPERATED HOUSEHOLD LAUNDRY AND DRY CLEANING,340530
1,4,"REPAIR OF TV, RADIO, AND SOUND EQUIPMENT",340610
1,5,"APPLIANCE REPAIR, INCLUDING SERVICE CENTER",340620
1,5,"REUPHOLSTERING, FURNITURE REPAIR",340630
1,5,"REPAIRS/RENTALS OF LAWN AND GARDEN EQUIPMENT, HAND O",340901
1,4,RENTAL OF TELEVISIONS,340902
1,5,OTHER HOME SERVICES,340903
1,5,RENTAL OF FURNITURE,340904
1,4,"RENTAL OF VCR, RADIO, AND SOUND EQUIPMENT",340905
1,5,"CARE FOR ELDERLY, INVALIDS, HANDICAPPED, ETC.",340906
1,5,APPLIANCE RENTAL,340907
1,5,RENTAL OF OFFICE EQUIPMENT FOR NONBUSINESS USE,340908
1,5,ADULT DAY CARE CENTERS,340910
1,7,MANAGEMENT AND UPKEEP SERVICES FOR SECURITY,340911
1,8,MANAGEMENT AND UPKEEP SERVICES FOR SECURITY,340912
1,5,REPAIR OF MISCELLANEOUS HOUSEHOLD EQUIPMENT AND,340913
1,5,SERVICES FOR TERMITE/PEST CONTROL,340914
1,5,HOME SECURITY SYSTEM SERVICE FEE,340915
1,6,TENANT''S INSURANCE,350110
1,5,MEN''S SUITS,360110
1,5,"MEN''S SPORTCOATS, TAILORED JACKETS",360120
1,5,MEN''S COATS AND JACKETS,360210
1,5,MEN''S UNDERWEAR,360311
1,5,MEN''S HOSIERY,360312
1,5,MEN''S NIGHTWEAR,360320
1,5,MEN''S ACCESSORIES,360330
1,5,MEN''S ACTIVE SPORTSWEAR,360350
1,5,MEN''S SWIMWEAR (NEW UCC Q20191),360360
1,5,"MEN''S SHIRTS, SWEATERS, AND VESTS",360420
1,5,MEN''S PANTS AND SHORTS,360513
1,5,MEN''S UNIFORMS,360901
1,5,MEN''S COSTUMES,360902
1,5,BOYS'' COATS AND JACKETS,370110
1,5,BOYS'' SHIRTS AND SWEATERS,370125
1,5,BOYS'' UNDERWEAR,370211
1,5,BOYS'' NIGHTWEAR,370212
1,5,BOYS'' HOSIERY,370213
1,5,BOYS'' ACCESSORIES,370220
1,5,"BOYS'' SUITS, SPORTCOATS, VESTS",370311
1,5,BOYS'' PANTS AND SHORTS,370314
1,5,BOYS'' SWIMWEAR (NEW UCC Q20191),370360
