code_type,code,description,reason
HS6,281219,"Arsenic trichloride and other chlorides and chloride oxides, n.e.c. in item no. 2812",No UCC match found above confidence threshold
HS6,281410,Ammonia; anhydrous,No UCC match found above confidence threshold
HS6,281420,Ammonia; in aqueous solution,No UCC match found above confidence threshold
HS6,281520,Potassium hydroxide (caustic potash),No UCC match found above confidence threshold
HS6,281530,Peroxides of sodium or potassium,No UCC match found above confidence threshold
HS6,281610,Hydroxide and peroxide of magnesium,No UCC match found above confidence threshold
HS6,281640,"Oxides, hydroxides and peroxides, of strontium or barium",No UCC match found above confidence threshold
HS6,281700,Zinc; oxide and peroxide,No UCC match found above confidence threshold
HS6,281830,Aluminium hydroxide,No UCC match found above confidence threshold
HS6,281910,Chromium trioxide,No UCC match found above confidence threshold
HS6,281990,Chromium oxides and hydroxides; excluding chromium trioxide,No UCC match found above confidence threshold
HS6,282010,Manganese dioxide,No UCC match found above confidence threshold
HS6,282090,Manganese oxides; excluding manganese dioxide,No UCC match found above confidence threshold
HS6,282110,Iron oxides and hydroxides,No UCC match found above confidence threshold
HS6,282120,Earth colours; containing 70% or more by weight of combined iron evaluated as Fe2o3,No UCC match found above confidence threshold
HS6,282200,Cobalt oxides and hydroxides; commercial cobalt oxides,No UCC match found above confidence threshold
HS6,282300,Titanium oxides,No UCC match found above confidence threshold
HS6,282410,"Lead; lead monoxide (litharge, massicot)",No UCC match found above confidence threshold
HS6,282490,Lead oxides; n.e.c. in heading no. 2824,No UCC match found above confidence threshold
HS6,282510,Hydrazine and hydroxylamine and their inorganic salts,No UCC match found above confidence threshold
HS6,282520,Lithium oxide and hydroxide,No UCC match found above confidence threshold
HS6,282530,Vanadium oxides and hydroxides,No UCC match found above confidence threshold
HS6,282540,Nickel oxides and hydroxides,No UCC match found above confidence threshold
HS6,282550,Copper oxides and hydroxides,No UCC match found above confidence threshold
HS6,282560,Germanium oxides and zirconium dioxide,No UCC match found above confidence threshold
HS6,282570,Molybdenum oxides and hydroxides,No UCC match found above confidence threshold
HS6,282580,Antimony oxides,No UCC match found above confidence threshold
HS6,282612,Fluorides; of aluminium,No UCC match found above confidence threshold
HS6,282619,Fluorides; other than of aluminium,No UCC match found above confidence threshold
HS6,282690,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts, n.e.c. in heading no. 2826",No UCC match found above confidence threshold
HS6,282710,Chlorides; of ammonium,No UCC match found above confidence threshold
HS6,282720,Chlorides; of calcium,No UCC match found above confidence threshold
HS6,282731,Chlorides; of magnesium,No UCC match found above confidence threshold
HS6,282732,Chlorides; of aluminium,No UCC match found above confidence threshold
HS6,282735,Chlorides; of nickel,No UCC match found above confidence threshold
HS6,282739,"Chlorides; other than of ammonium, calcium, magnesium, aluminium and nickel",No UCC match found above confidence threshold
HS6,282741,Chloride oxides and chloride hydroxides; of copper,No UCC match found above confidence threshold
HS6,282749,Chloride oxides and chloride hydroxides; other than of copper,No UCC match found above confidence threshold
HS6,282751,Bromides; of sodium or of potassium,No UCC match found above confidence threshold
HS6,282759,Bromides and bromide oxides; other than item no. 2827.51,No UCC match found above confidence threshold
HS6,282760,Iodides and iodide oxides,No UCC match found above confidence threshold
HS6,282810,Hypochlorites; commercial calcium hypochlorite and other calcium hypochlorites,No UCC match found above confidence threshold
HS6,282890,Hypochlorites; n.e.c. in heading no. 2828,No UCC match found above confidence threshold
HS6,282911,Chlorates; of sodium,No UCC match found above confidence threshold
HS6,282919,Chlorates; other than sodium,No UCC match found above confidence threshold
HS6,282990,Perchlorates; bromates and perbromates; iodates and periodates,No UCC match found above confidence threshold
HS6,283010,"Sulphides; of sodium, whether or not chemically defined",No UCC match found above confidence threshold
HS6,283090,"Sulphides and polysulphides; whether or not chemically defined, other than sulphides of sodium",No UCC match found above confidence threshold
HS6,283110,Dithionites and sulphoxylates; of sodium,No UCC match found above confidence threshold
HS6,283190,Dithionites and sulphoxylates; other than sodium,No UCC match found above confidence threshold
HS6,283210,Sulphites; of sodium,No UCC match found above confidence threshold
HS6,283220,Sulphites; other than of sodium,No UCC match found above confidence threshold
HS6,283230,Thiosulphates,No UCC match found above confidence threshold
HS6,283311,Sodium sulphates; disodium sulphate,No UCC match found above confidence threshold
HS6,283319,Sodium sulphates; other than disodium sulphate,No UCC match found above confidence threshold
HS6,283321,Sulphates; of magnesium,No UCC match found above confidence threshold
HS6,283322,Sulphates; of aluminium,No UCC match found above confidence threshold
HS6,283324,Sulphates; of nickel,No UCC match found above confidence threshold
HS6,283325,Sulphates; of copper,No UCC match found above confidence threshold
HS6,283327,Sulphates; of barium,No UCC match found above confidence threshold
