Classification,Code,Description,Parent Code,Level,IsBasicLevel
H5,030441,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",0304,6,1
H5,030442,"Fish fillets; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0304,6,1
H5,030443,"Fish fillets; fresh or chilled, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",0304,6,1
H5,030444,"Fish fillets; fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae",0304,6,1
H5,030445,"Fish fillets; fresh or chilled, swordfish (Xiphias gladius)",0304,6,1
H5,030446,"Fish fillets; fresh or chilled, toothfish (Dissostichus spp.)",0304,6,1
H5,030447,"Fish fillets; fresh or chilled, dogfish and other sharks",0304,6,1
H5,030448,"Fish fillets; fresh or chilled, rays and skates (Rajidae)",0304,6,1
H5,030449,"Fish fillets; fresh or chilled, other than fish of heading 0304.4",0304,6,1
H5,030451,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads",0304,6,1
H5,030452,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, salmonidae",0304,6,1
