hs10_code,hs10_description,ucc_code,ucc_description,confidence_level,match_score,match_reasoning,match_method,demographic_split
0203210000,"CARCASSES AND HALF-CARCASSES OF SWINE, FROZEN",040410,OTHER PORK,HIGH,0.7667,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203210000,"CARCASSES AND HALF-CARCASSES OF SWINE, FROZEN",040210,PORK CHOPS,MEDIUM,0.4417,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203221000,"HAMS, SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, PROCESSED, FROZEN",040410,OTHER PORK,HIGH,0.7083,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203229000,"HAMS, SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, FROZEN, EXCEPT PROCESSED",040410,OTHER PORK,HIGH,0.7083,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203292000,"MEAT OF SWINE, PROCESSED, FROZEN, NESOI",040410,OTHER PORK,HIGH,0.825,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203292000,"MEAT OF SWINE, PROCESSED, FROZEN, NESOI",040210,PORK CHOPS,MEDIUM,0.5,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203294000,"MEAT OF SWINE, FROZEN, NESOI",040410,OTHER PORK,HIGH,0.825,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203294000,"MEAT OF SWINE, FROZEN, NESOI",040210,PORK CHOPS,MEDIUM,0.5,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0206100000,"OFFAL OF BOVINES, EDIBLE, FRESH OR CHILLED",050410,LAMB AND ORGAN MEATS,MEDIUM-HIGH,0.55,"anchor tokens: MEATS, ORGAN; HS10 tokens matched: OFFAL",deterministic,1.0
0206290000,"OFFAL OF BOVINE ANIMALS, EDIBLE, FROZEN, NESOI",030810,OTHER BEEF,HIGH,0.7667,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0206290000,"OFFAL OF BOVINE ANIMALS, EDIBLE, FROZEN, NESOI",030110,GROUND BEEF,HIGH,0.7667,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0206290000,"OFFAL OF BOVINE ANIMALS, EDIBLE, FROZEN, NESOI",050410,LAMB AND ORGAN MEATS,MEDIUM-HIGH,0.55,"anchor tokens: MEATS, ORGAN; HS10 tokens matched: OFFAL",deterministic,1.0
0206290090,"OFFAL OF BOVINE ANIMALS, EDIBLE, FROZEN, NESOI",030810,OTHER BEEF,HIGH,0.7667,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0206290090,"OFFAL OF BOVINE ANIMALS, EDIBLE, FROZEN, NESOI",030110,GROUND BEEF,HIGH,0.7667,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0206290090,"OFFAL OF BOVINE ANIMALS, EDIBLE, FROZEN, NESOI",050410,LAMB AND ORGAN MEATS,MEDIUM-HIGH,0.55,"anchor tokens: MEATS, ORGAN; HS10 tokens matched: OFFAL",deterministic,1.0
0206300000,"OFFAL OF SWINE, EDIBLE, FRESH OR CHILLED",040410,OTHER PORK,HIGH,0.7667,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0206300000,"OFFAL OF SWINE, EDIBLE, FRESH OR CHILLED",050410,LAMB AND ORGAN MEATS,MEDIUM-HIGH,0.55,"anchor tokens: MEATS, ORGAN; HS10 tokens matched: OFFAL",deterministic,1.0
0206300000,"OFFAL OF SWINE, EDIBLE, FRESH OR CHILLED",040210,PORK CHOPS,MEDIUM,0.4417,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0206410000,"LIVERS OF SWINE, EDIBLE, FROZEN",040410,OTHER PORK,HIGH,0.825,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0206410000,"LIVERS OF SWINE, EDIBLE, FROZEN",040210,PORK CHOPS,MEDIUM,0.5,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0206490000,"OFFAL OF SWINE, EDIBLE, FROZEN, NESOI",040410,OTHER PORK,HIGH,0.825,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0206490000,"OFFAL OF SWINE, EDIBLE, FROZEN, NESOI",050410,LAMB AND ORGAN MEATS,MEDIUM-HIGH,0.6083,"anchor tokens: MEATS, ORGAN; HS10 tokens matched: OFFAL",deterministic,1.0
0206490000,"OFFAL OF SWINE, EDIBLE, FROZEN, NESOI",040210,PORK CHOPS,MEDIUM,0.5,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
